7963 CC12NC(Cc3ccccc31)c1ccccc12 | 6-phospho-1-fructokinase
2025738 COC[C@](C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1cc(C(N)=O)nc1-2 | Mitogen-activated protein kinase kinase kinase 14
2025735 CC(O)(C#Cc1cc2c(cc1F)C1CC(C1)n1cc(C(N)=O)nc1-2)c1ccccn1 | Mitogen-activated protein kinase kinase kinase 14
2025737 CC(O)(C#Cc1cc2c(cc1F)C1CC(C1)n1cc(C(N)=O)nc1-2)c1nc[nH]n1 | Mitogen-activated protein kinase kinase kinase 14
2025742 COC[C@@](C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1cc(C(N)=O)nc1-2 | Mitogen-activated protein kinase kinase kinase 14
2025748 CC(O)(C#Cc1ccc2c(c1)-c1nc(C(N)=O)cn1C1CC2C1)c1ccccn1 | Mitogen-activated protein kinase kinase kinase 14
2025749 CC(O)(C#Cc1ccc2c(c1)-c1nc(C(N)=O)cn1C1CC2C1)CF | Mitogen-activated protein kinase kinase kinase 14
2025751 COCC(C)(O)C#Cc1ccc2c(c1)-c1nc(C(N)=O)cn1C1CC2C1 | Mitogen-activated protein kinase kinase kinase 14
2025753 CC(C)(O)C#Cc1ccc2c(c1)-c1nc(C(N)=O)cn1C1CC2C1 | Mitogen-activated protein kinase kinase kinase 14
2025755 CC(O)(C#Cc1ccc2c(c1)-c1nc(C(N)=O)cn1C1CC2C1)CO | Mitogen-activated protein kinase kinase kinase 14
2025765 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1-c1nc(C2CC2)no1 | Mitogen-activated protein kinase kinase kinase 14
2025767 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1C1CN(C(=O)OC(C)(C)C)C1 | Mitogen-activated protein kinase kinase kinase 14
2025768 COCC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1C1CC1 | Mitogen-activated protein kinase kinase kinase 14
2025769 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1C1CC1 | Mitogen-activated protein kinase kinase kinase 14
2025770 CC(O)(C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1-c1nc(C2CC2)n[nH]1)CO | Mitogen-activated protein kinase kinase kinase 14
2025771 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1C(F)(F)F | Mitogen-activated protein kinase kinase kinase 14
2025776 CC(O)(C#Cc1ccc2c(c1)-c1nc(C(N)=O)cn1C1CC2C1)c1ncccn1 | Mitogen-activated protein kinase kinase kinase 14
2025777 CC(O)(C#Cc1cc2c(cc1F)C1CC(C1)n1cc(C(N)=O)nc1-2)c1ncccn1 | Mitogen-activated protein kinase kinase kinase 14
2025778 Cc1cc(C(C)(O)C#Cc2cc3c(cc2F)C2CC(C2)n2c-3nc(C(N)=O)c2C(F)(F)F)no1 | Mitogen-activated protein kinase kinase kinase 14
2025780 CC(C)(O)C#Cc1ccc2c(c1)-c1nc(C(N)=O)c(C(F)(F)F)n1C1CC2C1 | Mitogen-activated protein kinase kinase kinase 14
2025781 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1-c1nc(-c2cccnc2)n[nH]1 | Mitogen-activated protein kinase kinase kinase 14
2025783 CNC(=O)c1c(C(N)=O)nc2n1C1CC(C1)c1ccc(C#C[C@@](C)(O)c3cc(C)on3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2025784 CC(O)(C#Cc1ccc2c(c1)-c1nc(C(N)=O)cn1C1CC2C1)c1nc[nH]n1 | Mitogen-activated protein kinase kinase kinase 14
2025786 Cc1cc([C@](C)(O)C#Cc2ccc3c(c2)-c2nc(C(N)=O)c(C(=O)N(C)C)n2C2CC3C2)no1 | Mitogen-activated protein kinase kinase kinase 14
2025785 CNC(=O)c1c(C(N)=O)nc2n1C1CC(C1)c1ccc(C#C[C@@](C)(O)c3noc(C)n3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2025788 CN(C)Cc1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC(C)(C)O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2025789 CN1CCN(Cc2c(C(N)=O)nc3n2C2CC(C2)c2cc(F)c(C#CC(C)(C)O)cc2-3)CC1 | Mitogen-activated protein kinase kinase kinase 14
2026715 COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCC5CCCCC5C4)nc3n2)cc1CO | Serine/threonine-protein kinase mTOR
2027261 Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1ncnc2c(N)nc(N3C[C@H]4C[C@@H]3CN4C)nc12 | Serine/threonine-protein kinase B-raf
2027265 Cc1ccc(C(=O)Nc2cc(C(C)(C)C)n[nH]2)cc1Nc1ncnc2c(N)nc(N3C[C@@H]4C[C@H]3CN4)nc12 | Serine/threonine-protein kinase B-raf
2027281 Cc1ccc(C(=O)Nc2cc(C(C)(C)C)nn2C)cc1Nc1ncnc2c(N)nc(N3CCN4CCCC4C3)nc12 | Serine/threonine-protein kinase B-raf
2027302 Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1ncnc2c(N)nc(N3CC4CC3CN4C)nc12 | Serine/threonine-protein kinase B-raf
2028071 CNc1nc(Nc2cc3c(cc2Cl)c(C(=O)N2C[C@@H]4C[C@H]2CO4)cn3C)ncc1C(F)(F)F | Leucine-rich repeat serine/threonine-protein kinase 2
2029788 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)c1[nH]c(C(N)=O)nc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029791 Cn1nccc1C(O)c1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC(C)(C)O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029793 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1CN1CCCC1 | Mitogen-activated protein kinase kinase kinase 14
2029794 CC(C)N(C)Cc1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC(C)(C)O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029795 CC(C)NCc1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC(C)(C)O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029796 CC(=O)N1CCN(Cc2c(C(N)=O)nc3n2C2CC(C2)c2cc(F)c(C#CC(C)(C)O)cc2-3)CC1 | Mitogen-activated protein kinase kinase kinase 14
2029805 C[C@@](O)(C#Cc1cc2c(cc1F)C1CC(C1)n1cc(C(N)=O)nc1-2)c1ccccn1 | Mitogen-activated protein kinase kinase kinase 14
2029807 COCCNCc1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC(C)(C)O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029809 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1CNC(=O)C1CC1 | Mitogen-activated protein kinase kinase kinase 14
2029810 COCCN(C)Cc1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC(C)(C)O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029811 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1CN1CCC(O)C1 | Mitogen-activated protein kinase kinase kinase 14
2029816 Cn1nccc1Cc1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC(C)(C)O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029818 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1C(C)(C)O | Mitogen-activated protein kinase kinase kinase 14
2029817 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1-c1nc(C2CC2)n[nH]1 | Mitogen-activated protein kinase kinase kinase 14
2029819 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1Cc1ccccc1Cl | Mitogen-activated protein kinase kinase kinase 14
2029820 CNC(=O)c1c(C(N)=O)nc2n1C1CC(C1)c1ccc(C#CC(C)(C)O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029821 CNC(=O)c1c(C(N)=O)nc2n1C1CC(C1)c1ccc(C#CC3(O)CCCC3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029827 Cn1nccc1C(O)c1c(C(N)=O)nc2n1C1CC(C1)c1ccc(C#CC(C)(C)O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029829 Cn1nccc1Cc1c(C(N)=O)nc2n1C1CC(C1)c1ccc(C#CC(C)(C)O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029830 CNC(=O)c1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC(C)(C)O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029841 CNC(=O)c1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC3(O)CCCC3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029839 C[C@@](O)(C#Cc1cc2c(cc1F)C1CC(C1)c1[nH]c(C(N)=O)nc1-2)c1ncccn1 | Mitogen-activated protein kinase kinase kinase 14
2029846 Cn1cncc1C(O)c1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC(C)(C)O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029850 Cn1c(C(N)=O)nc2c1C1CC(C1)c1cc(F)c(C#CC(C)(C)O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029851 Cn1c(C(N)=O)nc2c1C1CC(C1)c1cc(F)c(C#C[C@@](C)(O)c3ncccn3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029848 Cn1cncc1C(O)c1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC3(O)CCCC3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029853 CNC(=O)c1c(C(N)=O)nc2n1C1CC(C1)c1ccc(C#C[C@@](C)(O)c3ccccn3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029856 CC(C)(O)Cn1cc(-c2c(C(N)=O)nc3n2C2CC(C2)c2ccc(C#CC4(O)CCCC4)cc2-3)cn1 | Mitogen-activated protein kinase kinase kinase 14
2029861 CN1CC[C@](O)(C#Cc2ccc3c(c2)-c2nc(C(N)=O)c(Cc4ccccc4Cl)n2C2CC3C2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029862 CN1CC[C@](O)(C#Cc2ccc3c(c2)-c2nc(C(N)=O)cn2C2CC3C2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029863 CN1CC[C@](O)(C#Cc2cc3c(cc2F)C2CC(C2)n2cc(C(N)=O)nc2-3)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029864 CN1CC[C@@](O)(C#Cc2ccc3c(c2)-c2nc(C(N)=O)cn2C2CC3C2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029865 CN1CC[C@@](O)(C#Cc2cc3c(cc2F)C2CC(C2)n2cc(C(N)=O)nc2-3)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029867 CC(=O)N1CC(c2c(C(N)=O)nc3n2C2CC(C2)c2ccc(C#CC4(O)CCCC4)cc2-3)C1 | Mitogen-activated protein kinase kinase kinase 14
2029868 CN1CCC(O)(C#Cc2cc3c(cc2F)C2CC(C2)n2c-3nc(C(N)=O)c2Cc2ccnn2C)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029869 Cn1nccc1C(O)c1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC3(O)CCCC3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029870 CN1CC[C@](O)(C#Cc2ccc3c(c2)-c2nc(C(N)=O)c(C4CN(C(=O)C5CC5)C4)n2C2CC3C2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029871 CN1CCC(O)(C#Cc2ccc3c(c2)-c2nc(C(N)=O)c(C#CC4(O)CCN(C)C4=O)n2C2CC3C2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029872 CN1CC[C@@](O)(C#Cc2ccc3c(c2)-c2nc(C(N)=O)c(C4CN(C(=O)C5CC5)C4)n2C2CC3C2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029874 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1C(O)c1ccn[nH]1 | Mitogen-activated protein kinase kinase kinase 14
2029873 CN1CC[C@@](O)(C#Cc2ccc3c(c2)-c2nc(C(N)=O)c(Cc4ccccc4Cl)n2C2CC3C2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029875 NC(=O)c1nc2n(c1C(O)c1ccn[nH]1)C1CC(C1)c1cc(F)c(C#CC3(O)CCCC3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029878 COC[C@@](C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1Cc1ccnn1C | Mitogen-activated protein kinase kinase kinase 14
2029877 COC[C@](C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1Cc1ccnn1C | Mitogen-activated protein kinase kinase kinase 14
2029879 NC(=O)c1nc2n(c1C1CC1)C1CC(C1)c1cc(F)c(C#CC3(O)CCNC3=O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029880 COC[C@@](C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1[C@H](O)c1ccnn1C | Mitogen-activated protein kinase kinase kinase 14
2029881 COC[C@](C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1[C@H](O)c1ccnn1C | Mitogen-activated protein kinase kinase kinase 14
2029882 CN1CC[C@@](O)(C#Cc2cc3c(cc2F)C2CC(C2)n2c-3nc(C(N)=O)c2[C@H](O)c2ccnn2C)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029883 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1CNC=O | Mitogen-activated protein kinase kinase kinase 14
2029884 Cc1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#C[C@@](C)(O)c3ncccn3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029885 CN1CC[C@@](O)(C#Cc2cc3c(cc2F)C2CC(C2)n2c-3nc(C(N)=O)c2[C@@H](O)c2ccnn2C)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029886 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1C1(O)CCC1 | Mitogen-activated protein kinase kinase kinase 14
2029887 CC(C)(O)c1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)ccc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029888 CN1CC[C@](O)(C#Cc2cc3c(cc2F)C2CC(C2)n2c-3nc(C(N)=O)c2C(C)(C)O)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029891 CN1CC[C@](O)(C#Cc2cc3c(cc2F)C2CC(C2)n2c-3nc(C(N)=O)c2[C@H](O)c2ccnn2C)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029892 CN1CC[C@](O)(C#Cc2cc3c(cc2F)C2CC(C2)n2c-3nc(C(N)=O)c2[C@@H](O)c2ccnn2C)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029890 CN1CC[C@@](O)(C#Cc2cc3c(cc2F)C2CC(C2)n2c-3nc(C(N)=O)c2C(C)(C)O)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029895 CN1CC[C@](O)(C#Cc2cc3c(cc2F)C2CC(C2)n2c-3nc(C(N)=O)c2C2CC2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029893 Cc1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#C[C@@]3(O)CCN(C)C3=O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029896 CN1CC[C@@](O)(C#Cc2cc3c(cc2F)C2CC(C2)n2c-3nc(C(N)=O)c2C2CC2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029897 COC[C@](C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1[C@@H](O)c1ccnn1C | Mitogen-activated protein kinase kinase kinase 14
2029894 Cc1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#C[C@]3(O)CCN(C)C3=O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029899 NC(=O)c1nc2n(c1C1CC1)C1CC(C1)c1cc(F)c(C#C[C@@]3(O)CCNC3=O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029900 NC(=O)c1nc2n(c1C1CC1)C1CC(C1)c1cc(F)c(C#C[C@]3(O)CCNC3=O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029898 COC[C@@](C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1[C@@H](O)c1ccnn1C | Mitogen-activated protein kinase kinase kinase 14
2029901 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1C1(O)COC1 | Mitogen-activated protein kinase kinase kinase 14
2029902 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1C1(O)CN(C(=O)C2CC2)C1 | Mitogen-activated protein kinase kinase kinase 14
2029906 COc1ncc(F)cc1[C@@H](O)c1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC(C)(C)O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029907 COc1ncc(F)cc1[C@H](O)c1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC(C)(C)O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029909 COc1ncc(F)cc1[C@H](O)c1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC3(O)CCCC3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029908 COc1ncc(F)cc1[C@@H](O)c1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC3(O)CCCC3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029912 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1[C@@H](O)C1CN(C(=O)OC(C)(C)C)C1 | Mitogen-activated protein kinase kinase kinase 14
2029911 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1[C@H](O)C1CN(C(=O)OC(C)(C)C)C1 | Mitogen-activated protein kinase kinase kinase 14
2029913 Cn1nccc1C(O)c1c(C(N)=O)nc2n1C1CC(C1)c1ccc(C#C[C@@](C)(O)c3ncccn3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029917 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1CNC(=O)C1CCC1 | Mitogen-activated protein kinase kinase kinase 14
2029918 CNC(=O)c1c(C(N)=O)nc2n1C1CC(C1)c1ccc(C#CC3(O)CCC3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029921 NC(=O)c1cn2c(n1)-c1cc(C#CC3(O)CCC3)c(F)cc1C1CC2C1 | Mitogen-activated protein kinase kinase kinase 14
2029922 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1CNC(=O)C(C)(C)C | Mitogen-activated protein kinase kinase kinase 14
2029923 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1CNC(=O)C1(O)CC1 | Mitogen-activated protein kinase kinase kinase 14
2029924 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)n1c-2nc(C(N)=O)c1CNC(=O)C1CC1(F)F | Mitogen-activated protein kinase kinase kinase 14
2029926 NC(=O)c1cn2c(n1)-c1cc(C#CC3(O)CCC3)ccc1C1CC2C1 | Mitogen-activated protein kinase kinase kinase 14
2029925 CNC(=O)c1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC3(O)CCC3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029928 CC(=O)N(Cc1c(C(N)=O)nc2n1C1CC(C1)c1cc(F)c(C#CC(C)(C)O)cc1-2)C(C)C | Mitogen-activated protein kinase kinase kinase 14
2029935 Cn1nccc1Cc1c(C(N)=O)nc2n1C1CC(C1)c1ccc(C#C[C@@](C)(O)c3ncccn3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029937 CN1CC[C@@](O)(C#Cc2cc3c(cc2F)C2CC(C2)c2c-3nc(C(N)=O)n2C)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029939 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)c1sc(C(N)=O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029938 CN1CC[C@](O)(C#Cc2cc3c(cc2F)C2CC(C2)c2c-3nc(C(N)=O)n2C)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029947 Cn1nccc1Cn1c(C(N)=O)nc2c1C1CC(C1)c1cc(F)c(C#CC(C)(C)O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029948 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)c1c-2nc(C(N)=O)n1Cc1ccccc1Cl | Mitogen-activated protein kinase kinase kinase 14
2029946 CC(C)(O)C#Cc1ccc2c(c1)-c1nc(C(N)=O)c(-c3nnc(C4CC4)s3)n1C1CC2C1 | Mitogen-activated protein kinase kinase kinase 14
2029955 Cc1nc2ccccc2n1Cc1c(C(N)=O)nc2n1C1CC(C1)c1ccc(C#C[C@]3(O)CCN(C)C3=O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029960 CN1CC[C@@](O)(C#Cc2ccc3c(c2)-c2nc(C(N)=O)c(CN4CCCC4)n2C2CC3C2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029965 CC(C)(O)C#Cc1cc2c(cc1F)C1CC(C1)c1c-2nc(C(N)=O)n1C(F)F | Mitogen-activated protein kinase kinase kinase 14
2029975 CN1CC[C@@](O)(C#Cc2ccc3c(c2)-c2nc(C(N)=O)c(COc4ccccc4Cl)n2C2CC3C2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2029979 Cn1c(C(N)=O)nc2c1C1CC(C1)c1ccc(C#C[C@@](C)(O)c3ncccn3)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029977 Cn1c(C(N)=O)nc2c1C1CC(C1)c1ccc(C#CC(C)(C)O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2029980 CC12CCC(O)(C#Cc3ccc4c(c3)-c3nc(C(N)=O)cn3CCO4)C1O2 | Mitogen-activated protein kinase kinase kinase 14
2031945 c1cc2c3cnc(Nc4ccc(N5CCNCC5)cn4)nc3n(C3CC4CCC3C4)c2cn1 | Cyclin-dependent kinase 6
2031947 c1cc2c3cnc(Nc4ccc(N5CCNCC5)cn4)nc3n(C34CC5CC(CC(C5)C3)C4)c2cn1 | Cyclin-dependent kinase 4
2031961 c1cc2c3cnc(Nc4ccc(N5CCNCC5)cc4)nc3n(C3CC4CCC3C4)c2cn1 | Cyclin-dependent kinase 6
2032578 CCNc1nc(Nc2cc(C#N)cc(N3CC[C@@H]4[C@@H](C3)OCCN4C3COC3)c2Cl)nn2c(C#N)cnc12 | Casein kinase II alpha
2033556 CN1CC[C@@](O)(C#Cc2ccc3c(c2)-c2nc(C(N)=O)sc2C2CC3C2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2033582 CN1CC[C@@](O)(C#Cc2ccc3c(c2)-c2nc(C(N)=O)c(C(=O)NC4CC4)n2C2CC3C2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2033583 CC(C)NC(=O)c1c(C(N)=O)nc2n1C1CC(C1)c1ccc(C#C[C@]3(O)CCN(C)C3=O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2033584 CNC(=O)c1c(C(N)=O)nc2n1C1CC(C1)c1ccc(C#C[C@]3(O)CCN(C)C3=O)cc1-2 | Mitogen-activated protein kinase kinase kinase 14
2033590 CN1CC[C@@](O)(C#Cc2ccc3c(c2)-c2nc(C(N)=O)c(C(F)F)n2C2CC3C2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2033591 CN1CC[C@@](O)(C#Cc2ccc3c(c2)-c2nc(C(N)=O)n(C)c2C2CC3C2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2033592 CN1CC[C@](O)(C#Cc2ccc3c(c2)-c2nc(C(N)=O)n(C)c2C2CC3C2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2033593 CN1CC[C@@](O)(C#Cc2ccc3c(c2)-c2nc(C(N)=O)n(Cc4nn(C)c5ccccc45)c2C2CC3C2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2033594 CN1CC[C@](O)(C#Cc2ccc3c(c2)-c2nc(C(N)=O)n(Cc4nn(C)c5ccccc45)c2C2CC3C2)C1=O | Mitogen-activated protein kinase kinase kinase 14
2034452 CCc1nccc(-c2ccc(C(=O)N3CCN4CCCCC4C3)c(F)c2)c1C#Cc1ccc(N)nc1 | Serine/threonine-protein kinase mTOR
2034453 CCc1nccc(-c2ccc(C(=O)N3CCN4CCCC4C3)c(F)c2)c1C#Cc1ccc(N)nc1 | Serine/threonine-protein kinase mTOR
2034459 CCc1nccc(-c2ccc(C(=O)N3C[C@@H]4CC3CN4C)c(F)c2)c1C#Cc1ccc(N)nc1 | Serine/threonine-protein kinase mTOR
2034460 CCc1nccc(-c2ccc(C(=O)N3C[C@@H]4CC3CN4c3ccc(F)cc3)c(F)c2)c1C#Cc1ccc(N)nc1 | Serine/threonine-protein kinase mTOR
2035385 CN(C)C1CC2CCC(C1)N2c1ccc(Nc2ncc3c4ccncc4n(C4CCCC4)c3n2)nc1 | Cyclin-dependent kinase 4
2035495 NC1[C@@H]2CN(c3ccc(Nc4ncc5c6ccncc6n(C6CCCC6)c5n4)nn3)C[C@H]12 | Cyclin-dependent kinase 4
2036325 N#C[C@H]1C[C@H](N2C[C@@H]3[C@@H](CO)[C@@H]3C2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1 | Tyrosine-protein kinase JAK1
2036343 N#C[C@H]1C[C@@H](N2C[C@@H]3[C@@H](CO)[C@@H]3C2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1 | Tyrosine-protein kinase JAK1
2039944 Nc1nc(N2CCC3CCCCC3C2)c2c(n1)[nH]c1ccc(O)cc12 | Dual specificity mitogen-activated protein kinase kinase 7
2040595 COc1cccc2c1CC[C@@H]1[C@H]2OCCN1c1nc(-c2ccncc2)cc(=O)n1C | Glycogen synthase kinase-3 beta splice variant X1
2040641 Cn1c(N2CCO[C@H]3c4ccccc4CC[C@@H]32)nc(-c2ccncc2F)cc1=O | Glycogen synthase kinase-3 beta splice variant X1
2040642 Cn1c(N2CC3CCC2C(c2ccccc2)C3)nc(-c2ccncc2)cc1=O | Glycogen synthase kinase-3 beta splice variant X1
2040643 COc1ccccc1NC1CC2CCC(C1)N2c1nc(-c2ccncc2F)cc(=O)n1C | Glycogen synthase kinase-3 beta splice variant X1
2040644 COc1ccc2c(c1)CC[C@H]1[C@H]2OCCN1c1nc(-c2ccncc2F)cc(=O)n1C | Glycogen synthase kinase-3 beta splice variant X1
2040646 Cn1c(N2CCO[C@H]3CCCC[C@@H]32)nc(-c2ccncn2)cc1=O | Glycogen synthase kinase-3 beta splice variant X1
